"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 23 12:16:18 CDT 2023","Tue May 23 12:16:20 CDT 2023","2358","","React | 11: Read 1.2","","","","Given the url https://sell.manheim.man-uat.com/ui/inventory",""
"passed","Tue May 23 12:16:18 CDT 2023","Tue May 23 12:16:18 CDT 2023","1","","React | 11: Read 11","","","","",""
"passed","Tue May 23 12:15:58 CDT 2023","Tue May 23 12:16:19 CDT 2023","20211","","React | All my inventory page: Read the page header","","","","When on page i read the page header",""
"passed","Tue May 23 12:15:28 CDT 2023","Tue May 23 12:15:31 CDT 2023","2926","","React | 11: Read 11","","","","Given the url https://sell.manheim.man-uat.com/ui/inventory",""
"passed","Tue May 23 12:16:18 CDT 2023","Tue May 23 12:16:18 CDT 2023","25","","React | 22: Read 22","","","","Then verify text should read INVENTORY",""
"passed","Tue May 23 12:15:28 CDT 2023","Tue May 23 12:15:31 CDT 2023","2976","","React | 22: Read 22","","","","Given the url https://sell.manheim.man-uat.com/ui/inventory",""
"passed","Tue May 23 12:16:18 CDT 2023","Tue May 23 12:16:18 CDT 2023","0","","React | 22: Read 22","","","","",""
"passed","Tue May 23 12:15:51 CDT 2023","Tue May 23 12:15:58 CDT 2023","7117","","React | All my inventory page: Read the page header","","","","And select sellerNumber 4998585",""
"passed","Tue May 23 12:15:50 CDT 2023","Tue May 23 12:15:57 CDT 2023","7155","","React | 11: Read 11","","","","And select sellerNumber 4998585",""
"skipped","Tue May 23 12:16:30 CDT 2023","Tue May 23 12:16:30 CDT 2023","0","","React | 11: Read 1.2","","","","And select sellerNumber 4998585",""
"broken","Tue May 23 12:16:20 CDT 2023","Tue May 23 12:16:30 CDT 2023","10142","","React | 11: Read 1.2","","","","Then i enter username ascott4 and password demo",""
"passed","Tue May 23 12:16:30 CDT 2023","Tue May 23 12:16:30 CDT 2023","0","","React | 11: Read 1.2","","","","",""
"passed","Tue May 23 12:15:58 CDT 2023","Tue May 23 12:16:18 CDT 2023","19374","","React | 22: Read 22","","","","When on page i read the page header",""
"passed","Tue May 23 12:15:51 CDT 2023","Tue May 23 12:15:58 CDT 2023","7164","","React | 22: Read 22","","","","And select sellerNumber 4998585",""
"passed","Tue May 23 12:15:31 CDT 2023","Tue May 23 12:15:50 CDT 2023","19364","","React | 11: Read 11","","","","Then i enter username ascott4 and password demo",""
"passed","Tue May 23 12:15:28 CDT 2023","Tue May 23 12:15:31 CDT 2023","2931","","React | All my inventory page: Read the page header","","","","Given the url https://sell.manheim.man-uat.com/ui/inventory",""
"passed","Tue May 23 12:15:57 CDT 2023","Tue May 23 12:16:18 CDT 2023","20148","","React | 11: Read 11","","","","When on page i read the page header",""
"passed","Tue May 23 12:16:19 CDT 2023","Tue May 23 12:16:19 CDT 2023","1","","React | All my inventory page: Read the page header","","","","",""
"passed","Tue May 23 12:15:31 CDT 2023","Tue May 23 12:15:51 CDT 2023","20179","","React | 22: Read 22","","","","Then i enter username ascott4 and password demo",""
"passed","Tue May 23 12:15:31 CDT 2023","Tue May 23 12:15:51 CDT 2023","20463","","React | All my inventory page: Read the page header","","","","Then i enter username ascott4 and password demo",""
"passed","Tue May 23 12:16:19 CDT 2023","Tue May 23 12:16:19 CDT 2023","51","","React | All my inventory page: Read the page header","","","","Then verify text should read INVENTORY",""
"passed","Tue May 23 12:16:18 CDT 2023","Tue May 23 12:16:18 CDT 2023","42","","React | 11: Read 11","","","","Then verify text should read INVENTORY",""
